Date,average patient
01-03-2012,325.25
01-04-2012,331.27
01-05-2012,329.83
01-06-2012,328.34
01-09-2012,322.04
01-10-2012,313.7
01-11-2012,310.59
01-12-2012,314.43
1/13/2012,311.96
1/17/2012,314.81
1/18/2012,312.14
1/19/2012,319.3
1/20/2012,294.16
1/23/2012,291.91
1/24/2012,292.07
1/25/2012,287.68
1/26/2012,284.92
1/27/2012,284.32
1/30/2012,287.95
1/31/2012,290.41
02-01-2012,291.38
02-02-2012,291.34
02-03-2012,294.23
02-06-2012,296.39
02-07-2012,302.44
02-08-2012,303.18
02-09-2012,304.87
02-10-2012,302.81
2/13/2012,304.11
2/14/2012,304.63
2/15/2012,305.32
2/16/2012,300.28
2/17/2012,301.36
2/21/2012,300.81
2/22/2012,304.84
2/23/2012,302.37
2/24/2012,302.54
2/27/2012,302.16
2/28/2012,303.86
2/29/2012,308.14
03-01-2012,309.97
03-02-2012,309.84
03-05-2012,309.06
03-06-2012,302.89
03-07-2012,303.39
03-08-2012,303.88
03-09-2012,302.84
03-12-2012,298.88
3/13/2012,303.24
3/14/2012,306.35
3/15/2012,307.15
3/16/2012,309.29
3/19/2012,310.4
3/20/2012,314.28
3/21/2012,316.12
3/22/2012,318.06
3/23/2012,322.09
3/26/2012,321.3
3/27/2012,322.31
3/28/2012,324.8
3/29/2012,325.5
3/30/2012,324.66
04-02-2012,319.19
04-03-2012,321.5
04-04-2012,318.03
04-05-2012,314.94
04-09-2012,313.07
04-10-2012,315.58
04-11-2012,315.8
04-12-2012,319.98
4/13/2012,322.57
4/16/2012,310.34
4/17/2012,303.14
4/18/2012,302.89
4/19/2012,301.71
4/20/2012,301
4/23/2012,295.34
4/24/2012,298
4/25/2012,300.87
4/26/2012,304.31
4/27/2012,306.36
4/30/2012,305.35
05-01-2012,300.77
05-02-2012,299.48
05-03-2012,303.67
05-04-2012,301.83
05-07-2012,296.39
05-08-2012,301.63
05-09-2012,302.28
05-10-2012,305.34
05-11-2012,304.04
5/14/2012,299.27
5/15/2012,301.54
5/16/2012,307.83
5/17/2012,315.73
5/18/2012,311.38
5/21/2012,299.13
5/22/2012,305.57
5/23/2012,299.7
5/24/2012,303.44
5/25/2012,299.38
5/29/2012,296.79
5/30/2012,292.98
5/31/2012,293.26
06-01-2012,284.83
06-04-2012,284.05
06-05-2012,286.65
06-06-2012,287.16
06-07-2012,292.7
06-08-2012,286.85
06-11-2012,291.01
06-12-2012,283.82
6/13/2012,279.81
6/14/2012,279.6
6/15/2012,279.12
6/18/2012,280.26
6/19/2012,285.72
6/20/2012,288.82
6/21/2012,288.84
6/22/2012,282.94
6/25/2012,282.61
6/26/2012,280.33
6/27/2012,282.79
6/28/2012,281.89
6/29/2012,286.41
07-02-2012,289.82
07-03-2012,288.92
07-05-2012,293.28
07-06-2012,295.12
07-09-2012,291.38
07-10-2012,293.99
07-11-2012,287.07
07-12-2012,282.5
7/13/2012,285.01
7/16/2012,287.11
7/17/2012,288.14
7/18/2012,287.41
7/19/2012,291.98
7/20/2012,303.24
7/23/2012,299.12
7/24/2012,306.35
7/25/2012,303.02
7/26/2012,306.35
7/27/2012,308.29
7/30/2012,316.84
7/31/2012,312.96
08-01-2012,317.46
08-02-2012,311.59
08-03-2012,318.81
08-06-2012,318.61
08-07-2012,319.7
08-08-2012,318.33
08-09-2012,321.05
08-10-2012,318.1
8/13/2012,322.5
8/14/2012,328.39
8/15/2012,333.89
8/16/2012,332.51
8/17/2012,335.8
8/20/2012,336.49
8/21/2012,335.3
8/22/2012,332.44
8/23/2012,335.88
8/24/2012,336.54
8/27/2012,330.26
8/28/2012,331.26
8/29/2012,337.42
8/30/2012,340.84
8/31/2012,340.72
09-04-2012,341
09-05-2012,338.73
09-06-2012,341.7
09-07-2012,348.69
09-10-2012,353.55
09-11-2012,347.68
09-12-2012,343.42
9/13/2012,345.25
9/14/2012,353.48
9/17/2012,352.73
9/18/2012,352.57
9/19/2012,357.41
9/20/2012,360.88
9/21/2012,364.74
9/24/2012,364.14
9/25/2012,375.12
9/26/2012,373.52
9/27/2012,378.56
9/28/2012,375.67
10-01-2012,378.11
10-02-2012,381.17
10-03-2012,376.45
10-04-2012,379.95
10-05-2012,383.92
10-08-2012,379.08
10-09-2012,378.42
10-10-2012,369.54
10-11-2012,375.04
10-12-2012,374.52
10/15/2012,369.58
10/16/2012,368.68
10/17/2012,370.59
10/18/2012,376.36
10/19/2012,351.47
10/22/2012,339.23
10/23/2012,334.75
10/24/2012,342.12
10/25/2012,338.73
10/26/2012,336.99
10/31/2012,338.66
11-01-2012,338.48
11-02-2012,346.1
11-05-2012,340.97
11-06-2012,341.46
11-07-2012,336.24
11-08-2012,333.85
11-09-2012,326.1
11-12-2012,330.64
11/13/2012,330.26
11/14/2012,329.1
11/15/2012,323.79
11/16/2012,321.79
11/19/2012,326.63
11/20/2012,333.5
11/21/2012,333.25
11/23/2012,333.73
11/26/2012,331.98
11/27/2012,328.85
11/28/2012,332.76
11/29/2012,342.61
11/30/2012,344.36
12-03-2012,349.81
12-04-2012,346.2
12-05-2012,344.78
12-06-2012,342.51
12-07-2012,346.2
12-10-2012,341.42
12-11-2012,343.71
12-12-2012,348.31
12/13/2012,356.62
12/14/2012,348.28
12/17/2012,351.43
12/18/2012,356.96
12/19/2012,359.01
12/20/2012,360.28
12/21/2012,355.65
12/24/2012,355.92
12/26/2012,352.71
12/27/2012,352.25
12/28/2012,349.53
12/31/2012,348.69
01-02-2013,358.37
01-03-2013,361.11
01-04-2013,363.31
01-07-2013,366.35
01-08-2013,366.4
01-09-2013,364.77
01-10-2013,370.03
01-11-2013,369.61
1/14/2013,367.12
1/15/2013,358.32
1/16/2013,359.85
1/17/2013,357.51
1/18/2013,353.85
1/22/2013,351.01
1/23/2013,366.62
1/24/2013,369.24
1/25/2013,373.98
1/28/2013,374.48
1/29/2013,371.98
1/30/2013,375.46
1/31/2013,373.85
02-01-2013,377.68
02-04-2013,382.41
02-05-2013,379.14
02-06-2013,378.12
02-07-2013,383.41
02-08-2013,388.61
02-11-2013,387.75
02-12-2013,389.42
2/13/2013,388.61
2/14/2013,388.41
2/15/2013,392.23
2/19/2013,396.51
2/20/2013,401.15
2/21/2013,397.51
2/22/2013,398.14
2/25/2013,399.65
2/26/2013,396.02
2/27/2013,395.92
2/28/2013,399.05
03-01-2013,397.41
03-04-2013,401.15
03-05-2013,412.92
03-06-2013,418.94
03-07-2013,415.47
03-08-2013,415.69
03-11-2013,414.29
03-12-2013,413.8
3/13/2013,412.4
3/14/2013,411.95
3/15/2013,407.72
3/18/2013,401
3/19/2013,404.11
3/20/2013,406.89
3/21/2013,404.13
3/22/2013,405.85
3/25/2013,404.69
3/26/2013,405.23
3/27/2013,401.83
3/28/2013,400.49
04-01-2013,396.02
04-02-2013,400.77
04-03-2013,405.21
04-04-2013,400.62
04-05-2013,391.56
04-08-2013,387.92
04-09-2013,386.3
04-10-2013,390
04-11-2013,394.96
04-12-2013,394.52
4/15/2013,391.51
4/16/2013,391.83
4/17/2013,391.91
4/18/2013,391.21
4/19/2013,383.14
4/22/2013,398.81
4/23/2013,399
4/24/2013,402.55
4/25/2013,406.6
4/26/2013,402.29
4/29/2013,400.13
4/30/2013,407.97
05-01-2013,410.09
05-02-2013,408.52
05-03-2013,416.92
05-06-2013,422.55
05-07-2013,429.89
